sku,name,category,quantity,reorder_level,location,supplier
HSP00299,"Medication Item 299",Medication,187,37,"Ward 9 - Shelf 3",Supplier 10
HSP00300,"Surgical Item 300",Surgical,115,23,"Ward 8 - Shelf 3",Supplier 1
HSP00301,"Diagnostics Item 301",Diagnostics,157,31,"Ward 8 - Shelf 5",Supplier 2
HSP00302,"Cleaning Item 302",Cleaning,183,36,"Ward 6 - Shelf 2",Supplier 3
HSP00303,"Office Item 303",Office,110,22,"Ward 2 - Shelf 6",Supplier 4
HSP00304,"Consumables Item 304",Consumables,176,35,"Ward 1 - Shelf 6",Supplier 5
HSP00305,"PPE Item 305",PPE,123,24,"Ward 7 - Shelf 4",Supplier 6
HSP00306,"Equipment Item 306",Equipment,4,10,"Ward 7 - Shelf 1",Supplier 7
HSP00307,"Medication Item 307",Medication,162,32,"Ward 5 - Shelf 1",Supplier 8
HSP00308,"Surgical Item 308",Surgical,181,36,"Ward 1 - Shelf 5",Supplier 9
HSP00309,"Diagnostics Item 309",Diagnostics,134,26,"Ward 7 - Shelf 3",Supplier 10
HSP00310,"Cleaning Item 310",Cleaning,191,38,"Ward 10 - Shelf 4",Supplier 1
HSP00311,"Office Item 311",Office,146,29,"Ward 9 - Shelf 4",Supplier 2
HSP00312,"Consumables Item 312",Consumables,69,13,"Ward 6 - Shelf 4",Supplier 3
HSP00313,"PPE Item 313",PPE,27,10,"Ward 9 - Shelf 1",Supplier 4
HSP00314,"Equipment Item 314",Equipment,104,20,"Ward 10 - Shelf 2",Supplier 5
HSP00315,"Medication Item 315",Medication,183,36,"Ward 8 - Shelf 1",Supplier 6
HSP00316,"Surgical Item 316",Surgical,171,34,"Ward 8 - Shelf 3",Supplier 7
HSP00317,"Diagnostics Item 317",Diagnostics,171,34,"Ward 7 - Shelf 1",Supplier 8
HSP00318,"Cleaning Item 318",Cleaning,32,10,"Ward 9 - Shelf 2",Supplier 9
HSP00319,"Office Item 319",Office,16,10,"Ward 6 - Shelf 3",Supplier 10
HSP00320,"Consumables Item 320",Consumables,156,31,"Ward 9 - Shelf 6",Supplier 1
HSP00321,"PPE Item 321",PPE,12,10,"Ward 1 - Shelf 2",Supplier 2
HSP00322,"Equipment Item 322",Equipment,86,17,"Ward 9 - Shelf 4",Supplier 3
HSP00323,"Medication Item 323",Medication,192,38,"Ward 3 - Shelf 1",Supplier 4
HSP00324,"Surgical Item 324",Surgical,196,39,"Ward 3 - Shelf 3",Supplier 5
HSP00325,"Diagnostics Item 325",Diagnostics,46,10,"Ward 3 - Shelf 4",Supplier 6
HSP00326,"Cleaning Item 326",Cleaning,189,37,"Ward 4 - Shelf 2",Supplier 7
HSP00327,"Office Item 327",Office,59,11,"Ward 3 - Shelf 3",Supplier 8
HSP00328,"Consumables Item 328",Consumables,55,11,"Ward 1 - Shelf 1",Supplier 9
HSP00329,"PPE Item 329",PPE,151,30,"Ward 1 - Shelf 2",Supplier 10
HSP00330,"Equipment Item 330",Equipment,113,22,"Ward 1 - Shelf 4",Supplier 1
HSP00331,"Medication Item 331",Medication,137,27,"Ward 3 - Shelf 3",Supplier 2
HSP00332,"Surgical Item 332",Surgical,54,10,"Ward 8 - Shelf 2",Supplier 3
HSP00333,"Diagnostics Item 333",Diagnostics,159,31,"Ward 10 - Shelf 4",Supplier 4
HSP00334,"Cleaning Item 334",Cleaning,47,10,"Ward 10 - Shelf 6",Supplier 5
HSP00335,"Office Item 335",Office,132,26,"Ward 3 - Shelf 2",Supplier 6
HSP00336,"Consumables Item 336",Consumables,2,10,"Ward 9 - Shelf 1",Supplier 7
HSP00337,"PPE Item 337",PPE,175,35,"Ward 3 - Shelf 4",Supplier 8
HSP00338,"Equipment Item 338",Equipment,54,10,"Ward 10 - Shelf 3",Supplier 9
HSP00339,"Medication Item 339",Medication,75,15,"Ward 1 - Shelf 5",Supplier 10
HSP00340,"Surgical Item 340",Surgical,98,19,"Ward 10 - Shelf 1",Supplier 1
HSP00341,"Diagnostics Item 341",Diagnostics,193,38,"Ward 10 - Shelf 4",Supplier 2
HSP00342,"Cleaning Item 342",Cleaning,147,29,"Ward 3 - Shelf 4",Supplier 3
HSP00343,"Office Item 343",Office,107,21,"Ward 3 - Shelf 2",Supplier 4
HSP00344,"Consumables Item 344",Consumables,55,11,"Ward 3 - Shelf 1",Supplier 5
HSP00345,"PPE Item 345",PPE,135,27,"Ward 7 - Shelf 1",Supplier 6
HSP00346,"Equipment Item 346",Equipment,162,32,"Ward 10 - Shelf 5",Supplier 7
HSP00347,"Medication Item 347",Medication,143,28,"Ward 9 - Shelf 1",Supplier 8
HSP00348,"Surgical Item 348",Surgical,79,15,"Ward 9 - Shelf 6",Supplier 9
HSP00349,"Diagnostics Item 349",Diagnostics,72,14,"Ward 10 - Shelf 3",Supplier 10
HSP00350,"Cleaning Item 350",Cleaning,116,23,"Ward 6 - Shelf 6",Supplier 1
HSP00351,"Office Item 351",Office,151,30,"Ward 6 - Shelf 1",Supplier 2
HSP00352,"Consumables Item 352",Consumables,28,10,"Ward 2 - Shelf 2",Supplier 3
HSP00353,"PPE Item 353",PPE,169,33,"Ward 10 - Shelf 3",Supplier 4
HSP00354,"Equipment Item 354",Equipment,200,40,"Ward 4 - Shelf 3",Supplier 5
HSP00355,"Medication Item 355",Medication,145,29,"Ward 3 - Shelf 3",Supplier 6
HSP00356,"Surgical Item 356",Surgical,101,20,"Ward 6 - Shelf 1",Supplier 7
HSP00357,"Diagnostics Item 357",Diagnostics,71,14,"Ward 3 - Shelf 2",Supplier 8
HSP00358,"Cleaning Item 358",Cleaning,138,27,"Ward 6 - Shelf 6",Supplier 9
HSP00359,"Office Item 359",Office,14,10,"Ward 8 - Shelf 4",Supplier 10
HSP00360,"Consumables Item 360",Consumables,74,14,"Ward 1 - Shelf 4",Supplier 1
HSP00361,"PPE Item 361",PPE,59,11,"Ward 5 - Shelf 6",Supplier 2
HSP00362,"Equipment Item 362",Equipment,79,15,"Ward 6 - Shelf 4",Supplier 3
HSP00363,"Medication Item 363",Medication,50,10,"Ward 4 - Shelf 3",Supplier 4
HSP00364,"Surgical Item 364",Surgical,167,33,"Ward 6 - Shelf 1",Supplier 5
HSP00365,"Diagnostics Item 365",Diagnostics,138,27,"Ward 5 - Shelf 3",Supplier 6
HSP00366,"Cleaning Item 366",Cleaning,69,13,"Ward 6 - Shelf 5",Supplier 7
HSP00367,"Office Item 367",Office,78,15,"Ward 2 - Shelf 3",Supplier 8
HSP00368,"Consumables Item 368",Consumables,120,24,"Ward 3 - Shelf 1",Supplier 9
HSP00369,"PPE Item 369",PPE,125,25,"Ward 5 - Shelf 6",Supplier 10
HSP00370,"Equipment Item 370",Equipment,120,24,"Ward 3 - Shelf 2",Supplier 1
HSP00371,"Medication Item 371",Medication,67,13,"Ward 2 - Shelf 3",Supplier 2
HSP00372,"Surgical Item 372",Surgical,11,10,"Ward 3 - Shelf 5",Supplier 3
HSP00373,"Diagnostics Item 373",Diagnostics,167,33,"Ward 3 - Shelf 4",Supplier 4
HSP00374,"Cleaning Item 374",Cleaning,65,13,"Ward 7 - Shelf 2",Supplier 5
HSP00375,"Office Item 375",Office,56,11,"Ward 4 - Shelf 4",Supplier 6
HSP00376,"Consumables Item 376",Consumables,70,14,"Ward 5 - Shelf 6",Supplier 7
HSP00377,"PPE Item 377",PPE,200,40,"Ward 2 - Shelf 4",Supplier 8
HSP00378,"Equipment Item 378",Equipment,157,31,"Ward 10 - Shelf 5",Supplier 9
HSP00379,"Medication Item 379",Medication,90,18,"Ward 1 - Shelf 3",Supplier 10
HSP00380,"Surgical Item 380",Surgical,47,10,"Ward 1 - Shelf 4",Supplier 1
HSP00381,"Diagnostics Item 381",Diagnostics,49,10,"Ward 2 - Shelf 2",Supplier 2
HSP00382,"Cleaning Item 382",Cleaning,157,31,"Ward 7 - Shelf 6",Supplier 3
HSP00383,"Office Item 383",Office,32,10,"Ward 10 - Shelf 5",Supplier 4
HSP00384,"Consumables Item 384",Consumables,185,37,"Ward 6 - Shelf 5",Supplier 5
HSP00385,"PPE Item 385",PPE,42,10,"Ward 4 - Shelf 4",Supplier 6
HSP00386,"Equipment Item 386",Equipment,160,32,"Ward 9 - Shelf 2",Supplier 7
HSP00387,"Medication Item 387",Medication,8,10,"Ward 6 - Shelf 3",Supplier 8
HSP00388,"Surgical Item 388",Surgical,59,11,"Ward 5 - Shelf 4",Supplier 9
HSP00389,"Diagnostics Item 389",Diagnostics,48,10,"Ward 5 - Shelf 1",Supplier 10
HSP00390,"Cleaning Item 390",Cleaning,113,22,"Ward 7 - Shelf 6",Supplier 1
HSP00391,"Office Item 391",Office,90,18,"Ward 8 - Shelf 5",Supplier 2
HSP00392,"Consumables Item 392",Consumables,200,40,"Ward 4 - Shelf 4",Supplier 3
HSP00393,"PPE Item 393",PPE,139,27,"Ward 2 - Shelf 4",Supplier 4
HSP00394,"Equipment Item 394",Equipment,36,10,"Ward 8 - Shelf 5",Supplier 5
HSP00395,"Medication Item 395",Medication,108,21,"Ward 9 - Shelf 6",Supplier 6
HSP00396,"Surgical Item 396",Surgical,57,11,"Ward 2 - Shelf 5",Supplier 7
HSP00397,"Diagnostics Item 397",Diagnostics,200,40,"Ward 9 - Shelf 3",Supplier 8
HSP00398,"Cleaning Item 398",Cleaning,155,31,"Ward 6 - Shelf 1",Supplier 9
HSP00399,"Office Item 399",Office,31,10,"Ward 3 - Shelf 2",Supplier 10
HSP00400,"Consumables Item 400",Consumables,70,14,"Ward 10 - Shelf 3",Supplier 1
HSP00401,"PPE Item 401",PPE,29,10,"Ward 4 - Shelf 4",Supplier 2
HSP00402,"Equipment Item 402",Equipment,73,14,"Ward 3 - Shelf 2",Supplier 3
HSP00403,"Medication Item 403",Medication,4,10,"Ward 7 - Shelf 3",Supplier 4
HSP00404,"Surgical Item 404",Surgical,96,19,"Ward 8 - Shelf 3",Supplier 5
HSP00405,"Diagnostics Item 405",Diagnostics,40,10,"Ward 9 - Shelf 5",Supplier 6
HSP00406,"Cleaning Item 406",Cleaning,47,10,"Ward 4 - Shelf 6",Supplier 7
HSP00407,"Office Item 407",Office,1,10,"Ward 10 - Shelf 6",Supplier 8
HSP00408,"Consumables Item 408",Consumables,96,19,"Ward 4 - Shelf 6",Supplier 9
HSP00409,"PPE Item 409",PPE,52,10,"Ward 9 - Shelf 4",Supplier 10
HSP00410,"Equipment Item 410",Equipment,109,21,"Ward 4 - Shelf 6",Supplier 1
HSP00411,"Medication Item 411",Medication,100,20,"Ward 8 - Shelf 3",Supplier 2
HSP00412,"Surgical Item 412",Surgical,160,32,"Ward 7 - Shelf 5",Supplier 3
HSP00413,"Diagnostics Item 413",Diagnostics,15,10,"Ward 3 - Shelf 6",Supplier 4
HSP00414,"Cleaning Item 414",Cleaning,138,27,"Ward 8 - Shelf 5",Supplier 5
HSP00415,"Office Item 415",Office,93,18,"Ward 1 - Shelf 5",Supplier 6
HSP00416,"Consumables Item 416",Consumables,71,14,"Ward 6 - Shelf 4",Supplier 7
HSP00417,"PPE Item 417",PPE,170,34,"Ward 9 - Shelf 4",Supplier 8
HSP00418,"Equipment Item 418",Equipment,141,28,"Ward 10 - Shelf 5",Supplier 9
HSP00419,"Medication Item 419",Medication,161,32,"Ward 8 - Shelf 1",Supplier 10
HSP00420,"Surgical Item 420",Surgical,125,25,"Ward 6 - Shelf 1",Supplier 1
HSP00421,"Diagnostics Item 421",Diagnostics,66,13,"Ward 1 - Shelf 3",Supplier 2
HSP00422,"Cleaning Item 422",Cleaning,24,10,"Ward 7 - Shelf 6",Supplier 3
HSP00423,"Office Item 423",Office,55,11,"Ward 4 - Shelf 6",Supplier 4
HSP00424,"Consumables Item 424",Consumables,200,40,"Ward 5 - Shelf 3",Supplier 5
HSP00425,"PPE Item 425",PPE,67,13,"Ward 2 - Shelf 5",Supplier 6
HSP00426,"Equipment Item 426",Equipment,102,20,"Ward 2 - Shelf 1",Supplier 7
HSP00427,"Medication Item 427",Medication,99,19,"Ward 8 - Shelf 2",Supplier 8
HSP00428,"Surgical Item 428",Surgical,154,30,"Ward 8 - Shelf 1",Supplier 9
HSP00429,"Diagnostics Item 429",Diagnostics,76,15,"Ward 8 - Shelf 5",Supplier 10
HSP00430,"Cleaning Item 430",Cleaning,171,34,"Ward 2 - Shelf 5",Supplier 1
HSP00431,"Office Item 431",Office,166,33,"Ward 10 - Shelf 1",Supplier 2
HSP00432,"Consumables Item 432",Consumables,18,10,"Ward 2 - Shelf 3",Supplier 3
HSP00433,"PPE Item 433",PPE,49,10,"Ward 3 - Shelf 3",Supplier 4
HSP00434,"Equipment Item 434",Equipment,119,23,"Ward 9 - Shelf 4",Supplier 5
HSP00435,"Medication Item 435",Medication,144,28,"Ward 10 - Shelf 4",Supplier 6
HSP00436,"Surgical Item 436",Surgical,98,19,"Ward 4 - Shelf 1",Supplier 7
HSP00437,"Diagnostics Item 437",Diagnostics,153,30,"Ward 7 - Shelf 1",Supplier 8
HSP00438,"Cleaning Item 438",Cleaning,196,39,"Ward 10 - Shelf 3",Supplier 9
HSP00439,"Office Item 439",Office,7,10,"Ward 10 - Shelf 3",Supplier 10
HSP00440,"Consumables Item 440",Consumables,12,10,"Ward 5 - Shelf 1",Supplier 1
HSP00441,"PPE Item 441",PPE,98,19,"Ward 7 - Shelf 4",Supplier 2
HSP00442,"Equipment Item 442",Equipment,93,18,"Ward 8 - Shelf 3",Supplier 3
HSP00443,"Medication Item 443",Medication,94,18,"Ward 3 - Shelf 4",Supplier 4
HSP00444,"Surgical Item 444",Surgical,34,10,"Ward 3 - Shelf 3",Supplier 5
HSP00445,"Diagnostics Item 445",Diagnostics,98,19,"Ward 10 - Shelf 6",Supplier 6
HSP00446,"Cleaning Item 446",Cleaning,140,28,"Ward 4 - Shelf 3",Supplier 7
HSP00447,"Office Item 447",Office,155,31,"Ward 7 - Shelf 5",Supplier 8
HSP00448,"Consumables Item 448",Consumables,47,10,"Ward 1 - Shelf 3",Supplier 9
HSP00449,"PPE Item 449",PPE,85,17,"Ward 2 - Shelf 6",Supplier 10
HSP00450,"Equipment Item 450",Equipment,113,22,"Ward 4 - Shelf 5",Supplier 1
HSP00451,"Medication Item 451",Medication,42,10,"Ward 9 - Shelf 2",Supplier 2
HSP00452,"Surgical Item 452",Surgical,13,10,"Ward 10 - Shelf 5",Supplier 3
HSP00453,"Diagnostics Item 453",Diagnostics,199,39,"Ward 10 - Shelf 1",Supplier 4
HSP00454,"Cleaning Item 454",Cleaning,51,10,"Ward 8 - Shelf 2",Supplier 5
HSP00455,"Office Item 455",Office,11,10,"Ward 2 - Shelf 3",Supplier 6
HSP00456,"Consumables Item 456",Consumables,192,38,"Ward 1 - Shelf 6",Supplier 7
HSP00457,"PPE Item 457",PPE,117,23,"Ward 1 - Shelf 5",Supplier 8
HSP00458,"Equipment Item 458",Equipment,54,10,"Ward 3 - Shelf 1",Supplier 9
HSP00459,"Medication Item 459",Medication,195,39,"Ward 2 - Shelf 5",Supplier 10
HSP00460,"Surgical Item 460",Surgical,197,39,"Ward 7 - Shelf 4",Supplier 1
HSP00461,"Diagnostics Item 461",Diagnostics,111,22,"Ward 9 - Shelf 1",Supplier 2
HSP00462,"Cleaning Item 462",Cleaning,195,39,"Ward 8 - Shelf 4",Supplier 3
HSP00463,"Office Item 463",Office,162,32,"Ward 8 - Shelf 3",Supplier 4
HSP00464,"Consumables Item 464",Consumables,126,25,"Ward 8 - Shelf 4",Supplier 5
HSP00465,"PPE Item 465",PPE,128,25,"Ward 10 - Shelf 2",Supplier 6
HSP00466,"Equipment Item 466",Equipment,132,26,"Ward 8 - Shelf 6",Supplier 7
HSP00467,"Medication Item 467",Medication,31,10,"Ward 7 - Shelf 5",Supplier 8
HSP00468,"Surgical Item 468",Surgical,65,13,"Ward 10 - Shelf 3",Supplier 9
HSP00469,"Diagnostics Item 469",Diagnostics,68,13,"Ward 8 - Shelf 3",Supplier 10
HSP00470,"Cleaning Item 470",Cleaning,8,10,"Ward 8 - Shelf 2",Supplier 1
HSP00471,"Office Item 471",Office,198,39,"Ward 1 - Shelf 6",Supplier 2
HSP00472,"Consumables Item 472",Consumables,77,15,"Ward 9 - Shelf 3",Supplier 3
HSP00473,"PPE Item 473",PPE,20,10,"Ward 4 - Shelf 4",Supplier 4
HSP00474,"Equipment Item 474",Equipment,123,24,"Ward 5 - Shelf 3",Supplier 5
HSP00475,"Medication Item 475",Medication,18,10,"Ward 9 - Shelf 5",Supplier 6
HSP00476,"Surgical Item 476",Surgical,58,11,"Ward 6 - Shelf 6",Supplier 7
HSP00477,"Diagnostics Item 477",Diagnostics,139,27,"Ward 9 - Shelf 3",Supplier 8
HSP00478,"Cleaning Item 478",Cleaning,24,10,"Ward 5 - Shelf 4",Supplier 9
HSP00479,"Office Item 479",Office,18,10,"Ward 7 - Shelf 5",Supplier 10
HSP00480,"Consumables Item 480",Consumables,43,10,"Ward 10 - Shelf 2",Supplier 1
HSP00481,"PPE Item 481",PPE,141,28,"Ward 7 - Shelf 6",Supplier 2
HSP00482,"Equipment Item 482",Equipment,31,10,"Ward 5 - Shelf 3",Supplier 3
HSP00483,"Medication Item 483",Medication,54,10,"Ward 2 - Shelf 2",Supplier 4
HSP00484,"Surgical Item 484",Surgical,198,39,"Ward 10 - Shelf 4",Supplier 5
HSP00485,"Diagnostics Item 485",Diagnostics,158,31,"Ward 8 - Shelf 5",Supplier 6
HSP00486,"Cleaning Item 486",Cleaning,80,16,"Ward 5 - Shelf 1",Supplier 7
HSP00487,"Office Item 487",Office,33,10,"Ward 1 - Shelf 6",Supplier 8
HSP00488,"Consumables Item 488",Consumables,188,37,"Ward 9 - Shelf 3",Supplier 9
HSP00489,"PPE Item 489",PPE,142,28,"Ward 2 - Shelf 6",Supplier 10
HSP00490,"Equipment Item 490",Equipment,140,28,"Ward 4 - Shelf 2",Supplier 1
HSP00491,"Medication Item 491",Medication,170,34,"Ward 3 - Shelf 3",Supplier 2
HSP00492,"Surgical Item 492",Surgical,45,10,"Ward 3 - Shelf 2",Supplier 3
HSP00493,"Diagnostics Item 493",Diagnostics,25,10,"Ward 9 - Shelf 1",Supplier 4
HSP00494,"Cleaning Item 494",Cleaning,70,14,"Ward 3 - Shelf 4",Supplier 5
HSP00495,"Office Item 495",Office,189,37,"Ward 6 - Shelf 1",Supplier 6
HSP00496,"Consumables Item 496",Consumables,13,10,"Ward 6 - Shelf 2",Supplier 7
HSP00497,"PPE Item 497",PPE,90,18,"Ward 4 - Shelf 1",Supplier 8
HSP00498,"Equipment Item 498",Equipment,172,34,"Ward 5 - Shelf 6",Supplier 9
HSP00499,"Medication Item 499",Medication,42,10,"Ward 1 - Shelf 6",Supplier 10
HSP00500,"Surgical Item 500",Surgical,181,36,"Ward 7 - Shelf 4",Supplier 1
